Date,Streamflow,id,name,country,river
2013-05-16,71.96,5796,Sirindhorn,Thailand,Lam Dom Noi
2013-06-16,0.0,5796,Sirindhorn,Thailand,Lam Dom Noi
2013-07-16,305.57,5796,Sirindhorn,Thailand,Lam Dom Noi
2013-08-16,617.18,5796,Sirindhorn,Thailand,Lam Dom Noi
2013-09-16,232.39,5796,Sirindhorn,Thailand,Lam Dom Noi
2013-11-16,85.94,5796,Sirindhorn,Thailand,Lam Dom Noi
2013-12-16,220.24,5796,Sirindhorn,Thailand,Lam Dom Noi
2014-01-16,27.44,5796,Sirindhorn,Thailand,Lam Dom Noi
2014-02-16,125.52,5796,Sirindhorn,Thailand,Lam Dom Noi
2014-03-16,2.11,5796,Sirindhorn,Thailand,Lam Dom Noi
2014-04-16,79.09,5796,Sirindhorn,Thailand,Lam Dom Noi
2014-05-16,141.42,5796,Sirindhorn,Thailand,Lam Dom Noi
2014-07-16,395.49,5796,Sirindhorn,Thailand,Lam Dom Noi
2014-08-16,178.96,5796,Sirindhorn,Thailand,Lam Dom Noi
2014-09-16,360.42,5796,Sirindhorn,Thailand,Lam Dom Noi
2014-11-16,81.46,5796,Sirindhorn,Thailand,Lam Dom Noi
2014-12-16,46.2,5796,Sirindhorn,Thailand,Lam Dom Noi
2015-01-16,51.05,5796,Sirindhorn,Thailand,Lam Dom Noi
2015-02-16,75.68,5796,Sirindhorn,Thailand,Lam Dom Noi
2015-03-16,45.63,5796,Sirindhorn,Thailand,Lam Dom Noi
2015-04-16,75.49,5796,Sirindhorn,Thailand,Lam Dom Noi
2015-05-16,105.01,5796,Sirindhorn,Thailand,Lam Dom Noi
2015-06-16,135.04,5796,Sirindhorn,Thailand,Lam Dom Noi
2015-07-16,319.96,5796,Sirindhorn,Thailand,Lam Dom Noi
2015-08-16,405.27,5796,Sirindhorn,Thailand,Lam Dom Noi
2015-09-16,0.0,5796,Sirindhorn,Thailand,Lam Dom Noi
2015-11-16,207.25,5796,Sirindhorn,Thailand,Lam Dom Noi
2015-12-16,35.3,5796,Sirindhorn,Thailand,Lam Dom Noi
2016-01-16,0.0,5796,Sirindhorn,Thailand,Lam Dom Noi
2016-02-16,42.29,5796,Sirindhorn,Thailand,Lam Dom Noi
2016-03-16,45.19,5796,Sirindhorn,Thailand,Lam Dom Noi
2016-04-16,28.96,5796,Sirindhorn,Thailand,Lam Dom Noi
2016-05-16,103.96,5796,Sirindhorn,Thailand,Lam Dom Noi
2016-09-16,258.87,5796,Sirindhorn,Thailand,Lam Dom Noi
2016-11-16,122.02,5796,Sirindhorn,Thailand,Lam Dom Noi
2016-12-16,167.67,5796,Sirindhorn,Thailand,Lam Dom Noi
