Month,S/Smax,id,name,country,river
1,0.72,7000,Nam Mang 3,Laos,Nam Gnong
2,0.65,7000,Nam Mang 3,Laos,Nam Gnong
3,0.55,7000,Nam Mang 3,Laos,Nam Gnong
4,0.36,7000,Nam Mang 3,Laos,Nam Gnong
5,0.34,7000,Nam Mang 3,Laos,Nam Gnong
6,0.31,7000,Nam Mang 3,Laos,Nam Gnong
7,0.54,7000,Nam Mang 3,Laos,Nam Gnong
8,0.4,7000,Nam Mang 3,Laos,Nam Gnong
9,0.71,7000,Nam Mang 3,Laos,Nam Gnong
10,0.1,7000,Nam Mang 3,Laos,Nam Gnong
11,0.83,7000,Nam Mang 3,Laos,Nam Gnong
12,0.77,7000,Nam Mang 3,Laos,Nam Gnong
1,0.76,7203,Se San 4,Vietnam,Se San
2,0.76,7203,Se San 4,Vietnam,Se San
3,0.7,7203,Se San 4,Vietnam,Se San
4,0.63,7203,Se San 4,Vietnam,Se San
5,0.7,7203,Se San 4,Vietnam,Se San
6,0.67,7203,Se San 4,Vietnam,Se San
7,0.8,7203,Se San 4,Vietnam,Se San
8,0.7,7203,Se San 4,Vietnam,Se San
9,0.78,7203,Se San 4,Vietnam,Se San
10,0.1,7203,Se San 4,Vietnam,Se San
11,0.78,7203,Se San 4,Vietnam,Se San
12,0.81,7203,Se San 4,Vietnam,Se San
1,0.66,5149,Ubol Ratana,Thailand,Nam Pong
2,0.59,5149,Ubol Ratana,Thailand,Nam Pong
3,0.57,5149,Ubol Ratana,Thailand,Nam Pong
4,0.49,5149,Ubol Ratana,Thailand,Nam Pong
5,0.48,5149,Ubol Ratana,Thailand,Nam Pong
6,0.46,5149,Ubol Ratana,Thailand,Nam Pong
7,0.44,5149,Ubol Ratana,Thailand,Nam Pong
8,0.49,5149,Ubol Ratana,Thailand,Nam Pong
9,0.66,5149,Ubol Ratana,Thailand,Nam Pong
10,0.1,5149,Ubol Ratana,Thailand,Nam Pong
11,0.7,5149,Ubol Ratana,Thailand,Nam Pong
12,0.69,5149,Ubol Ratana,Thailand,Nam Pong
1,0.91,5136,Nam Ngum 1,Laos,Nam Ngum
2,0.87,5136,Nam Ngum 1,Laos,Nam Ngum
3,0.85,5136,Nam Ngum 1,Laos,Nam Ngum
4,0.82,5136,Nam Ngum 1,Laos,Nam Ngum
5,0.78,5136,Nam Ngum 1,Laos,Nam Ngum
6,0.81,5136,Nam Ngum 1,Laos,Nam Ngum
7,0.82,5136,Nam Ngum 1,Laos,Nam Ngum
8,0.84,5136,Nam Ngum 1,Laos,Nam Ngum
9,0.88,5136,Nam Ngum 1,Laos,Nam Ngum
10,0.1,5136,Nam Ngum 1,Laos,Nam Ngum
11,0.94,5136,Nam Ngum 1,Laos,Nam Ngum
12,0.91,5136,Nam Ngum 1,Laos,Nam Ngum
1,0.75,6999,Nam Theun 2,Laos,Nam Theun
2,0.74,6999,Nam Theun 2,Laos,Nam Theun
3,0.68,6999,Nam Theun 2,Laos,Nam Theun
4,0.47,6999,Nam Theun 2,Laos,Nam Theun
5,0.36,6999,Nam Theun 2,Laos,Nam Theun
6,0.29,6999,Nam Theun 2,Laos,Nam Theun
7,0.31,6999,Nam Theun 2,Laos,Nam Theun
8,0.57,6999,Nam Theun 2,Laos,Nam Theun
9,0.45,6999,Nam Theun 2,Laos,Nam Theun
10,0.1,6999,Nam Theun 2,Laos,Nam Theun
11,0.83,6999,Nam Theun 2,Laos,Nam Theun
12,0.83,6999,Nam Theun 2,Laos,Nam Theun
1,0.35,7303,Lower Sesan 2,Cambodia,Sesan
2,0.41,7303,Lower Sesan 2,Cambodia,Sesan
3,0.37,7303,Lower Sesan 2,Cambodia,Sesan
4,0.31,7303,Lower Sesan 2,Cambodia,Sesan
5,0.26,7303,Lower Sesan 2,Cambodia,Sesan
6,0.26,7303,Lower Sesan 2,Cambodia,Sesan
7,0.14,7303,Lower Sesan 2,Cambodia,Sesan
8,0.15,7303,Lower Sesan 2,Cambodia,Sesan
9,0.22,7303,Lower Sesan 2,Cambodia,Sesan
10,0.1,7303,Lower Sesan 2,Cambodia,Sesan
11,0.37,7303,Lower Sesan 2,Cambodia,Sesan
12,0.35,7303,Lower Sesan 2,Cambodia,Sesan
1,0.83,5796,Sirindhorn,Thailand,Lam Dom Noi
2,0.78,5796,Sirindhorn,Thailand,Lam Dom Noi
3,0.74,5796,Sirindhorn,Thailand,Lam Dom Noi
4,0.65,5796,Sirindhorn,Thailand,Lam Dom Noi
5,0.65,5796,Sirindhorn,Thailand,Lam Dom Noi
6,0.69,5796,Sirindhorn,Thailand,Lam Dom Noi
7,0.68,5796,Sirindhorn,Thailand,Lam Dom Noi
8,0.72,5796,Sirindhorn,Thailand,Lam Dom Noi
9,0.85,5796,Sirindhorn,Thailand,Lam Dom Noi
10,0.1,5796,Sirindhorn,Thailand,Lam Dom Noi
11,0.89,5796,Sirindhorn,Thailand,Lam Dom Noi
12,0.85,5796,Sirindhorn,Thailand,Lam Dom Noi
1,0.68,5150,Lam Pao,Thailand,Chi
2,0.62,5150,Lam Pao,Thailand,Chi
3,0.52,5150,Lam Pao,Thailand,Chi
4,0.37,5150,Lam Pao,Thailand,Chi
5,0.34,5150,Lam Pao,Thailand,Chi
6,0.32,5150,Lam Pao,Thailand,Chi
7,0.4,5150,Lam Pao,Thailand,Chi
8,0.57,5150,Lam Pao,Thailand,Chi
9,0.8,5150,Lam Pao,Thailand,Chi
10,0.1,5150,Lam Pao,Thailand,Chi
11,0.71,5150,Lam Pao,Thailand,Chi
12,0.72,5150,Lam Pao,Thailand,Chi
