Date,NDWI
2013-04-16,32.83
2013-05-16,47.47
2013-06-16,14.79
2013-07-16,84.20
2013-08-16,153.61
2013-09-16,158.77
2013-11-16,156.05
2013-12-16,164.45
2014-01-16,148.58
2014-02-16,122.36
2014-03-16,98.29
2014-04-16,82.81
2014-05-16,40.91
2014-06-16,80.57
2014-07-16,111.37
2014-08-16,144.92
2014-09-16,256.86
2014-11-16,194.32
2014-12-16,193.72
2015-01-16,183.13
2015-02-16,206.29
2015-03-16,134.86
2015-04-16,105.68
2015-05-16,82.27
2015-06-16,68.89
2015-07-16,94.76
2015-08-16,120.63
2015-09-16,137.96
2015-11-16,147.73
2015-12-16,155.87
2016-01-16,144.70
2016-02-16,133.52
2016-03-16,110.80
2016-04-16,96.31
2016-05-16,52.47
2016-06-16,41.17
2016-07-16,87.00
2016-08-16,146.59
2016-09-16,206.19
2016-11-16,171.47
2016-12-16,172.33
2017-01-16,162.83
2017-02-16,149.99
2017-03-16,118.25
2017-04-16,102.14
2017-05-16,112.60
2017-06-16,123.06
2017-07-16,161.13
2017-08-16,199.20
2017-09-16,265.12
2017-11-16,240.69
2017-12-16,261.67
2018-01-16,254.27
2018-02-16,179.14
2018-03-16,221.30
2018-04-16,173.92
2018-05-16,162.55
2018-06-16,104.95
2018-07-16,111.37
2018-08-16,144.92
2018-09-16,207.74
2018-11-16,197.42
2018-12-16,189.44
2019-01-16,184.08
2019-02-16,163.56
2019-03-16,144.44
2019-04-16,85.50
2019-05-16,113.10
2019-06-16,90.55
2019-07-16,67.99
2019-08-16,160.45
2019-09-16,252.90
2019-11-16,242.72
2019-12-16,237.91
2020-01-16,217.39
2020-02-16,205.81
2020-03-16,155.05
2020-04-16,92.84
2020-05-16,118.77
2020-06-16,117.92
2020-07-16,115.38
2020-08-16,144.92
2020-09-16,207.74
2020-11-16,159.66
2020-12-16,160.15
2021-01-16,150.56
2021-02-16,145.74
2021-03-16,113.64
2021-04-16,100.42
2021-05-16,86.19
2021-06-16,111.07
2021-07-16,111.37
2021-08-16,144.92
2021-09-16,207.74
