Date,NDWI
2013-04-16,2.10
2013-05-16,2.73
2013-06-16,2.23
2013-07-16,6.88
2013-08-16,3.99
2013-09-16,8.90
2013-11-16,10.31
2013-12-16,8.60
2014-01-16,8.54
2014-02-16,6.91
2014-03-16,5.28
2014-04-16,4.05
2014-05-16,4.40
2014-06-16,4.75
2014-07-16,6.88
2014-08-16,3.99
2014-09-16,8.32
2014-11-16,9.63
2014-12-16,11.99
2015-01-16,8.82
2015-02-16,7.65
2015-03-16,6.49
2015-04-16,4.79
2015-05-16,3.13
2015-06-16,1.48
2015-07-16,5.92
2015-08-16,10.36
2015-09-16,9.85
2015-11-16,10.84
2015-12-16,8.99
2016-01-16,7.40
2016-02-16,9.28
2016-03-16,9.24
2016-04-16,7.89
2016-05-16,7.50
2016-06-16,9.12
2016-07-16,10.74
2016-08-16,9.49
2016-09-16,8.24
2016-11-16,8.08
2016-12-16,7.26
2017-01-16,9.87
2017-02-16,7.76
2017-03-16,6.02
2017-04-16,2.87
2017-05-16,4.92
2017-06-16,2.56
2017-07-16,6.88
2017-08-16,0.00
2017-09-16,8.90
2017-11-16,10.52
2017-12-16,9.18
2018-01-16,8.27
2018-02-16,7.18
2018-03-16,6.75
2018-04-16,4.93
2018-05-16,3.23
2018-06-16,2.56
2018-07-16,6.88
2018-08-16,3.99
2018-09-16,8.90
2018-11-16,10.52
2018-12-16,9.98
2019-01-16,9.48
2019-02-16,7.50
2019-03-16,6.60
2019-04-16,3.14
2019-05-16,3.56
2019-06-16,2.56
2019-07-16,0.46
2019-08-16,3.01
2019-09-16,5.57
2019-11-16,10.06
2019-12-16,8.33
2020-01-16,8.15
2020-02-16,7.32
2020-03-16,6.49
2020-04-16,4.54
2020-05-16,3.79
2020-06-16,5.33
2020-07-16,6.88
2020-08-16,3.99
2020-09-16,8.90
2020-11-16,9.74
2020-12-16,9.97
2021-01-16,8.39
2021-02-16,8.76
2021-03-16,5.93
2021-04-16,4.62
2021-05-16,3.30
2021-06-16,2.56
2021-07-16,6.88
2021-08-16,3.99
2021-09-16,8.90
